Number_of_Stations: 5394
Stat_ID    Easting_x    Norting_Y   Altitude  Longitude    Latitude   Bl_ID   Start_Date     End_Date   State   data_avail  geoQualLev   Station_Name 
  00193   4296904.97   5698319.52     232.00    9.08200    51.38450      -9   1968-01-01   1997-10-31      XX      100.00%           9   Arolsen-Neu_Berich
  00194   4296372.52   5693707.03     265.00    9.07700    51.34290      -9   1931-01-01   2015-12-31      XX       98.60%           3   Arolsen-Landau
  00198   4450707.50   5693402.56     164.00   11.29200    51.37450      -9   1935-12-31   2015-12-31      XX       95.73%           3   Artern
  00199   4398820.81   5916843.42       6.00   10.47950    53.37520      -9   1931-01-01   2006-12-31      XX       97.37%           9   Artlenburg
  00200   4093391.11   5565247.09     517.00    6.31630    50.08520      -9   1951-01-01   2015-12-31      XX       94.36%           3   Lauperath-Scheidchen
  00201   4178078.99   5624137.73     255.00    7.44530    50.66490      -9   1951-01-01   2015-12-31      XX       99.36%           1   Asbach
  00202   4292844.66   5541811.03     110.00    9.11140    49.97780      -9   1941-01-01   2015-12-31      XX       97.34%           3   Aschaffenburg
  00203   4525234.51   5294148.56     607.00   12.33680    47.78600      -9   1931-01-01   2015-12-31      XX       91.38%           3   Aschau-Innerkoy
  00204   4520383.65   5284379.50     740.00   12.27160    47.69830      -9   1931-01-01   2015-12-31      XX       96.47%           1   Aschau-Sachrang
  00205   4522367.53   5287621.95     680.00   12.29820    47.72740      -9   1931-01-01   2015-12-31      XX       97.65%           3   Aschau-Stein
  00206   4187187.08   5889768.82       3.00    7.33330    53.05000      -9   1951-01-01   1975-12-31      XX      100.00%           5   Aschendorf
  00207   4463174.80   5735049.95     105.00   11.46670    51.74980      -9   1897-05-01   2003-09-30      XX       78.85%           9   Aschersleben
  00208   4476935.95   5705920.98     100.00   11.66790    51.48870      -9   1948-07-01   2001-12-31      XX      100.00%           9   Aseleben
  00209   4309278.97   5431869.71     318.00    9.39330    48.99570      -9   1981-09-01   2003-12-31      XX      100.00%           9   Aspach-Allmersbach_am_Weinberg
  00210   4287795.75   5728268.29     321.00    8.93330    51.65000      -9   1931-01-01   1967-12-30      XX       94.60%           5   Asseln
  00211   4249904.85   5610735.21     200.00    8.46820    50.57990      -9   1981-09-01   2015-12-31      XX      100.00%           3   Asslar_Klein-Altenstaedten
  00213   4430527.37   5756279.57     170.00   10.98970    51.93750      -9   1951-01-01   2015-12-31      XX       95.90%           3   Sargstedt
  00214   4213782.58   5672944.61     307.00    7.91080    51.12120      -9   1931-01-01   2006-12-31      XX       98.69%           9   Attendorn
  00216   4211640.54   5672294.74     311.00    7.88080    51.11430      -9   1971-01-01   2015-12-31      XX       99.82%           3   Attendorn-Neulisternohl
  00217   4452446.77   5304450.68     672.00   11.36420    47.87740      -9   1941-01-01   2015-12-31      XX       99.22%           3   Attenkam
  00218   4472165.59   5753705.22      83.00   11.59540    51.91800      -9   1969-01-01   2006-12-31      XX      100.00%           9   Atzendorf
  00219   4470190.32   5753571.95      77.00   11.56670    51.91670      -9   1975-01-01   1990-12-31      XX      100.00%          10   Atzendorf_(Marbeschacht)
  00220   4224103.46   5430369.47     109.00    8.23240    48.95010      -9   1991-03-01   2011-04-30      XX       91.73%           1   Au_am_Rhein
  00221   4478718.41   5379242.88     483.00   11.71170    48.55150      -9   1985-08-01   1990-05-31      XX      100.00%          10   Au_i.d.Hallertau-Guenzenhausen
